post_id,post_title,post_content,post_publish_time,processed_title,processed_content,combined_text,lexicon_sentiment,llm_sentiment_label,llm_sentiment_score,ensemble_sentiment_score,llm_sentiment_label_new,llm_sentiment_score_new,ensemble_sentiment_score_new
1637916931,会议落地八大任务解读,"会议落地了，这次任务排位很不一样会议落地了，明年的8大任务也出来了。
1）内需方向排在第一位。贸易顺差11个月就破了1万亿美金，CPI还在0区徘徊。国家要制定“城乡居民增收计划”，提高大家收入，清理一些不合理的消费限制，比如白酒、车牌摇号等等。
2）科技方向排第二位。这次点名了人工智能+，还点名北京(京津冀)+上海(长三角)+粤港澳大湾区。相关的科创中心将受益。
3）反内卷排第三。这次的对象是国资...",2025-12-11 21:10:13,会议 落地 八大 任务 解读,会议 落地 这次 任务 排位 一样 会议 落地 明年 任务 出来 内需 方向 第一位 贸易顺差 亿美金 CPI 徘徊 国家 制定 城乡居民 增收 计划 提高 大家 收入 清理 一些 不合理 消费 限制 比如 白酒 车牌 摇号 等等 科技 方向 第二位 这次 点名 人工智能 点名 北京 京津冀 上海 长三角 粤港澳 大湾 相关 科创 中心 受益 反内 卷排 第三 这次 对象 国资,会议 落地 八大 任务 解读 会议 落地 这次 任务 排位 一样 会议 落地 明年 任务 出来 内需 方向 第一位 贸易顺差 亿美金 CPI 徘徊 国家 制定 城乡居民 增收 计划 提高 大家 收入 清理 一些 不合理 消费 限制 比如 白酒 车牌 摇号 等等 科技 方向 第二位 这次 点名 人工智能 点名 北京 京津冀 上海 长三角 粤港澳 大湾 相关 科创 中心 受益 反内 卷排 第三 这次 对象 国资,0.0,积极,1.0,0.6,中性,-0.14978109793341757,-0.1048467685533923
1635317998,拓宽券商资本/杠杆上限+从价格竞争转向价值竞争-解读,"我在上个月发过一帖，题为《打造金融强国，券商将承担起更为重要的使命！》其中提到“加快建设金融强国”已被纳入“十五五”规划建议，作为资本市场的“看门人”和金融体系的重要组成部分，证券行业必将承担起更为重要的使命，无疑将会迎来新的发展机遇，4000点后指数突破需权重股稳盘，大金融来“锁涨”。本周末证监会的系列措施，精准契合加快建设金融强国的战略导向，为证券行业划定了“功能优先、提质增效”的核心使命。
...",2025-12-07 09:57:11,拓宽 券商 资本 杠杆 上限 价格竞争 转向 价值 竞争 解读,上个月 一帖 题为 打造 金融 强国 券商 承担 更为重要 使命 其中 提到 加快 建设 金融 强国 纳入 十五 规划 建议 作为 资本 市场 看门人 金融体系 重要 组成部分 证券 行业 必将 承担 更为重要 使命 无疑 将会 迎来 发展 机遇 点后 指数 突破 权重股 稳盘 金融 锁涨 周末 证监会 系列 措施 精准 契合 加快 建设 金融 强国 战略 导向 证券 行业 划定 功能 优先 提质 增效 核心 使命,拓宽 券商 资本 杠杆 上限 价格竞争 转向 价值 竞争 解读 上个月 一帖 题为 打造 金融 强国 券商 承担 更为重要 使命 其中 提到 加快 建设 金融 强国 纳入 十五 规划 建议 作为 资本 市场 看门人 金融体系 重要 组成部分 证券 行业 必将 承担 更为重要 使命 无疑 将会 迎来 发展 机遇 点后 指数 突破 权重股 稳盘 金融 锁涨 周末 证监会 系列 措施 精准 契合 加快 建设 金融 强国 战略 导向 证券 行业 划定 功能 优先 提质 增效 核心 使命,0.0394736842105263,积极,1.0,0.6157894736842106,中性,-0.10130545895419882,-0.05907171600478128
1635284479,证监会最新发声！券商和A股都有新方向,"#社区牛人计划#
家人们！证监会吴清今天在证券业大会上的发言太有料了，不管你是炒股还是关注金融圈，这些点都得看看！
券商以后不卷价格战了！要转去拼价值——头部券商得往“国际标杆”冲，增强资源整合力；中小券商就深耕细分领域，做“小而美”的精品服务商，超接地气～
监管也很懂差异化：优质券商能适度拓宽资本空间、提高杠杆上限，资本用得更有效；问题机构就从严管，...",2025-12-06 18:09:11,证监会 最新 发声 券商 A股 方向,社区 计划 人们 证监会 吴清 证券业 大会 发言 太有料 不管 炒股 关注 金融 看看 券商 不卷 价格战 转去 价值 头部 券商 得往 国际 标杆 增强 资源整合 中小 券商 深耕 细分 领域 小而美 精品 服务商 接地 监管 差异化 优质 券商 适度 拓宽 资本 空间 提高 杠杆 上限 资本 有效 问题 机构 从严,证监会 最新 发声 券商 A股 方向 社区 计划 人们 证监会 吴清 证券业 大会 发言 太有料 不管 炒股 关注 金融 看看 券商 不卷 价格战 转去 价值 头部 券商 得往 国际 标杆 增强 资源整合 中小 券商 深耕 细分 领域 小而美 精品 服务商 接地 监管 差异化 优质 券商 适度 拓宽 资本 空间 提高 杠杆 上限 资本 有效 问题 机构 从严,0.0350877192982456,积极,1.0,0.6140350877192983,中性,0.12345864983211095,0.09694737067195133
1633632028,急更！！！120分钟末端，证券最后的极端交易机会！12月3日午盘。,"$东方财富(SZ300059)$$中信证券(SH600030)$$证券(BK0473)$
周末天风事件有股友提问，我回答说：天风是证券股的第二个散户大本营，这次的利空影响会比第一创业带来更好的洗盘效果。
昨日我在午盘发文表妹账户买入东财贡献一份绵薄之力，同时在上周老贴里更新了一张图。
这张图保险板块之前4个月120分钟的走势图，以及证券9-12月的120分钟走势图，昨天证券还未走出末端最后的一笔下...",2025-12-03 11:47:50,分钟 末端 证券 最后 极端 交易 机会 日午,东方 财富 SZ 中信证券 SH 证券 BK 周末 天风 事件 股友 提问 回答 天风 证券 第二个 散户 大本营 这次 利空 影响 第一 创业 带来 更好 洗盘 效果 昨日 午盘 发文 表妹 账户 买入 东财 贡献 一份 绵薄之力 同时 上周 老贴 更新 一张 张图 保险 板块 分钟 走势图 以及 证券 分钟 走势图 证券 走出 末端 最后 一笔,分钟 末端 证券 最后 极端 交易 机会 日午 东方 财富 SZ 中信证券 SH 证券 BK 周末 天风 事件 股友 提问 回答 天风 证券 第二个 散户 大本营 这次 利空 影响 第一 创业 带来 更好 洗盘 效果 昨日 午盘 发文 表妹 账户 买入 东财 贡献 一份 绵薄之力 同时 上周 老贴 更新 一张 张图 保险 板块 分钟 走势图 以及 证券 分钟 走势图 证券 走出 末端 最后 一笔,0.03125,积极,1.0,0.6124999999999999,积极,0.666444179544765,0.4758859256813355
1632106393,关于东方财富的走势,"关于东方财富近期的走势，吧里很多散户只看日线上最近3个月的走势，并没多看看月线上从去年9月至今的走势。从2024年9月至今的月线维度看，东方财富核心呈现中高位横向震荡的特征，和日线维度近3个月“单边跌势”的短中期表象形成明显差异，看盘结论如下：
1.月线未跌破前期波段低点（4月7日18.12元），整体未脱离长期高位震荡区间，并非日线视角下的“无支撑下跌”；
2.日线级别KDJ、RSI均进入超卖区间...",2025-11-30 11:58:02,关于 东方 财富 走势,关于 东方 财富 近期 走势 很多 散户 日线 最近 走势 没多 看看 月线 去年 至今 走势 至今 维度 东方 财富 核心 呈现 高位 横向 震荡 特征 日线 维度 单边 跌势 中期 表象 形成 明显 差异 看盘 结论 如下 月线 跌破 前期 波段 低点 整体 脱离 长期 高位 震荡 区间 并非 日线 视角 支撑 下跌 日线 级别 KDJ RSI 进入 超卖 区间,关于 东方 财富 走势 关于 东方 财富 近期 走势 很多 散户 日线 最近 走势 没多 看看 月线 去年 至今 走势 至今 维度 东方 财富 核心 呈现 高位 横向 震荡 特征 日线 维度 单边 跌势 中期 表象 形成 明显 差异 看盘 结论 如下 月线 跌破 前期 波段 低点 整体 脱离 长期 高位 震荡 区间 并非 日线 视角 支撑 下跌 日线 级别 KDJ RSI 进入 超卖 区间,0.0,消极,-1.0,-0.6,中性,-0.13017154409126783,-0.09112008086388747
1638797700,大雕忠告:等待确定性,,2025-12-14 21:04:06,忠告 等待 确定性,,,0.0,中性,0.0,0.0,中性,0.11843353287061412,0.08290347300942988
1638797670,交易6重天，你在哪一层？,,2025-12-14 21:03:44,交易 重天 一层,,,0.0,中性,0.0,0.0,消极,-0.18970907155210365,-0.13279635008647253
1638797607,如果有人问:你在股市这么多年没赚到钱，后悔吗？,,2025-12-14 21:03:10,有人 股市 这么 多年 没赚 后悔,,,0.0,中性,0.0,0.0,中性,-0.09082410395123168,-0.06357687276586217
1638797256,周五美股大跌，咱们周一会不会跟啊，有没有老师给讲讲？,,2025-12-14 20:58:51,周五 美股 大跌 咱们 周一 不会 有没有 老师 讲讲,,,0.0,中性,0.0,0.0,消极,-0.5370070035562773,-0.37590490248939407
1638792869,周围散户都很明白，只要量化不制止，大家都不会买股票的，进去等于送死。不如存银行！,,2025-12-14 20:10:04,周围 散户 明白 只要 量化 制止 大家 不会 股票 进去 等于 送死 不如 银行,,,0.0,中性,0.0,0.0,积极,0.5706147433043667,0.39943032031305664
